danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,type,uri,analysis_url,track_href
0.735,0.831,9,-5.898,1,0.0332,0.00166,0.217,0.291,0.756,123.017,08wJ1B9yu9sPeoRa5fbpr3,216800,4,audio_features,spotify:track:08wJ1B9yu9sPeoRa5fbpr3,https://api.spotify.com/v1/audio-analysis/08wJ1B9yu9sPeoRa5fbpr3,https://api.spotify.com/v1/tracks/08wJ1B9yu9sPeoRa5fbpr3
0.651,0.808,1,-4.731,0,0.0435,0.054,0,0.0482,0.858,100.993,3QldENeiZM38I1nHtHL3CQ,194893,4,audio_features,spotify:track:3QldENeiZM38I1nHtHL3CQ,https://api.spotify.com/v1/audio-analysis/3QldENeiZM38I1nHtHL3CQ,https://api.spotify.com/v1/tracks/3QldENeiZM38I1nHtHL3CQ
0.603,0.644,4,-6.447,1,0.0322,0.0886,0,0.0905,0.244,112.047,6caDnpIOivsjLRXqlJJxCD,237461,4,audio_features,spotify:track:6caDnpIOivsjLRXqlJJxCD,https://api.spotify.com/v1/audio-analysis/6caDnpIOivsjLRXqlJJxCD,https://api.spotify.com/v1/tracks/6caDnpIOivsjLRXqlJJxCD
0.782,0.589,0,-7.37,1,0.0803,0.0476,5.84e-06,0.0366,0.849,85.022,1dgWTMoHwTUnQhOQ8SR5fV,182960,4,audio_features,spotify:track:1dgWTMoHwTUnQhOQ8SR5fV,https://api.spotify.com/v1/audio-analysis/1dgWTMoHwTUnQhOQ8SR5fV,https://api.spotify.com/v1/tracks/1dgWTMoHwTUnQhOQ8SR5fV
0.68,0.849,1,-6.475,0,0.0376,0.0862,0.00013,0.174,0.536,111.969,3pkzJjJXfdDjhpXx639MIH,243520,4,audio_features,spotify:track:3pkzJjJXfdDjhpXx639MIH,https://api.spotify.com/v1/audio-analysis/3pkzJjJXfdDjhpXx639MIH,https://api.spotify.com/v1/tracks/3pkzJjJXfdDjhpXx639MIH
0.48,0.928,4,-5.501,1,0.0899,0.169,0,0.0479,0.713,167.986,3cE5ltZFHmBpiS77itKaOM,206587,4,audio_features,spotify:track:3cE5ltZFHmBpiS77itKaOM,https://api.spotify.com/v1/audio-analysis/3cE5ltZFHmBpiS77itKaOM,https://api.spotify.com/v1/tracks/3cE5ltZFHmBpiS77itKaOM
0.798,0.741,9,-6.802,1,0.0284,0.0432,3e-06,0.252,0.708,104.945,5vLonpxn4VN0A8GtQOBSG0,290560,4,audio_features,spotify:track:5vLonpxn4VN0A8GtQOBSG0,https://api.spotify.com/v1/audio-analysis/5vLonpxn4VN0A8GtQOBSG0,https://api.spotify.com/v1/tracks/5vLonpxn4VN0A8GtQOBSG0
0.689,0.886,10,-7.066,0,0.0382,0.0664,0,0.278,0.906,122.07,3QV7NYkrmV0Q0IHdFJw9hO,248067,4,audio_features,spotify:track:3QV7NYkrmV0Q0IHdFJw9hO,https://api.spotify.com/v1/audio-analysis/3QV7NYkrmV0Q0IHdFJw9hO,https://api.spotify.com/v1/tracks/3QV7NYkrmV0Q0IHdFJw9hO
0.514,0.742,8,-2.525,1,0.0258,0.27,1.7e-06,0.085,0.47,101.0,7jP7iCJ1cXVXYHWIkYtP6d,246453,4,audio_features,spotify:track:7jP7iCJ1cXVXYHWIkYtP6d,https://api.spotify.com/v1/audio-analysis/7jP7iCJ1cXVXYHWIkYtP6d,https://api.spotify.com/v1/tracks/7jP7iCJ1cXVXYHWIkYtP6d
0.579,0.799,0,-4.146,1,0.028,0.0095,0,0.0789,0.583,109.964,5cj52tdE99xnvdZGKWmKIW,205533,4,audio_features,spotify:track:5cj52tdE99xnvdZGKWmKIW,https://api.spotify.com/v1/audio-analysis/5cj52tdE99xnvdZGKWmKIW,https://api.spotify.com/v1/tracks/5cj52tdE99xnvdZGKWmKIW
